Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04012:ErbB signaling pathway	11	3.170028818443804	0.029289172715010026	BRAF, ERBB3, PAK4, CAMK2G, MAPK3, ELK1, MTOR, EGF, SHC3, PIK3R1, SRC	177	60	2044	2.1171374764595106	0.9993129013875643	0.9993129013875643	31.951548629427485
KEGG_PATHWAY	hsa04970:Salivary secretion	6	1.729106628242075	0.041943356657734444	ATP2B1, ADCY1, PLCB4, NOS1, ATP1A1, PRKACB	177	23	2044	3.012527634487841	0.9999724043427544	0.9947468431162156	42.58542129079568
KEGG_PATHWAY	hsa04750:Inflammatory mediator regulation of TRP channels	9	2.5936599423631126	0.04897853124329295	ADCY1, PLCB4, TRPV1, CAMK2G, NTRK1, PLA2G6, PRKACB, PIK3R1, SRC	177	48	2044	2.165254237288136	0.9999954644637391	0.9834470190795999	47.81183128750168
KEGG_PATHWAY	hsa05219:Bladder cancer	7	2.0172910662824206	0.051382169812136225	BRAF, MMP9, MAPK3, EGF, CDK4, SRC, DAPK1	177	32	2044	2.5261299435028253	0.9999975601426956	0.9604778004311826	49.49435829029131
KEGG_PATHWAY	hsa04971:Gastric acid secretion	6	1.729106628242075	0.057623656893762844	ADCY1, PLCB4, CCKBR, CAMK2G, ATP1A1, PRKACB	177	25	2044	2.771525423728814	0.9999995158589068	0.9454249189577518	53.63242248789992
KEGG_PATHWAY	hsa04020:Calcium signaling pathway	12	3.45821325648415	0.06658882831063018	SLC8A3, ATP2B1, ADCY1, PLCB4, NOS1, CCKBR, PDE1C, SLC25A5, ATP2A3, ERBB3, CAMK2G, PRKACB	177	78	2044	1.776618861364624	0.9999999534538618	0.9400235703416726	59.030993332392065
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	13	3.7463976945244957	0.08042610190530156	ADCY1, BRAF, STAT1, SRC, PLCB4, ARRB1, GNB1, MAPK3, PRKACB, XCL1, SHC3, XCL2, PIK3R1	177	90	2044	1.668047708725675	0.9999999988012581	0.9468464543707189	66.23558068617706
KEGG_PATHWAY	hsa04713:Circadian entrainment	7	2.0172910662824206	0.08318245019132108	ADCY1, PLCB4, NOS1, GNB1, CAMK2G, MAPK3, PRKACB	177	36	2044	2.2454488386691778	0.9999999994254671	0.9300295988113281	67.52294902177015
KEGG_PATHWAY	hsa05216:Thyroid cancer	5	1.440922190201729	0.08655864587491899	RET, BRAF, NTRK1, MAPK3, TPR	177	20	2044	2.8870056497175143	0.9999999997673173	0.9149566328622718	69.03807086796611
KEGG_PATHWAY	hsa04740:Olfactory transduction	3	0.8645533141210375	0.08778696317172459	PDE1C, CAMK2G, PRKACB	177	6	2044	5.7740112994350286	0.9999999998326649	0.8947168843325357	69.57291852816228
KEGG_PATHWAY	hsa04261:Adrenergic signaling in cardiomyocytes	9	2.5936599423631126	0.09479222063531803	ATP2B1, ADCY1, PLCB4, CAMK2G, MAPK3, CACNB1, ATP1A1, PRKACB, PIK3R1	177	55	2044	1.8896764252696459	0.9999999999746879	0.8911906581093092	72.46374516423208
